Lil Darkie '23,,,
Date,City,Venue,Ticket Link 
,,,
"Wednesday, October 25, 2023","Tampa, FL",The Ritz,https://www.etix.com/ticket/p/6199505/lil-darkie-and-the-collapse-of-modern-society-tampa-the-ritz-fyf
"Friday, October 27, 2023","Atlanta, GA",The Eastern,https://www.axs.com/events/488827/lil-darkie-tickets
"Saturday, October 28, 2023","Raleigh, NC",The Ritz,https://www.ticketmaster.com/event/2D005EC60FBBABC9
"Monday, October 30, 2023","Philadelphia, PA",TLA,https://www.ticketmaster.com/event/02005EC5ADE524B9
"Wednesday, November 1, 2023","Silver Spring, MD",The Fillmore,https://www.ticketmaster.com/event/15005EC795D52384
"Friday, November 3, 2023","Brooklyn, NY",Warsaw,https://www.ticketmaster.com/event/00005EC8FBFA8A1C
"Saturday, November 4, 2023","Boston, MA",Big Night Live,https://www.ticketmaster.com/event/01005EC13118A2D2
"Tuesday, November 7, 2023","Toronto, ON",Danforth,https://www.ticketmaster.ca/event/10005EC5B04E1A12
"Wednesday, November 8, 2023","Cleveland, OH",House of Blues,https://www.ticketmaster.com/event/05005EC1D5015422
"Friday, November 10, 2023","Detroit, MI",The Fillmore,https://www.ticketmaster.com/event/08005EC1B62F326E
"Saturday, November 11, 2023","Cincinnati, OH",Bogarts,https://www.ticketmaster.com/event/16005EC8F98E495E
"Tuesday, November 14, 2023","St. Louis, MO",Pops,https://www.ticketweb.com/event/lil-darkie-and-the-collapse-pops-concert-venue-tickets/13297908?pl=popsMJ
"Wednesday, November 15, 2023","Chicago, IL",Riviera Theatre,https://www.axs.com/events/489439/lil-darkie-and-the-collapse-of-modern-society-tickets
"Friday, November 17, 2023","Minneapolis, MN",The Fillmore,https://www.ticketmaster.com/event/06005EC6EEFB7F5D
"Saturday, November 18, 2023","Des Moines, IA",Wooly's,https://www.axs.com/events/489484/lil-darkie-and-the-collapse-of-modern-society-tickets
"Tuesday, November 21, 2023","Lawrence, KS",The Granada,https://www.etix.com/ticket/p/5260019/lil-darkie-and-the-collapse-of-modern-society-lawrence-the-granada
"Friday, November 24, 2023","Denver, CO",The Fillmore,https://www.ticketmaster.com/event/1E005EC6DA7E5001
"Saturday, November 25, 2023","Salt Lake City, UT",The Complex,https://tickets.thecomplexslc.com/event/lil-darkie-23/
"Tuesday, November 28, 2023","Seattle, WA",Showbox Sodo,https://www.axs.com/events/489092/lil-darkie-tickets?skin=showboxpresents
"Wednesday, November 29, 2023","Portland, OR",Roseland Theater,https://www.etix.com/ticket/p/8386140/lil-darkie-and-the-collapse-of-modern-society-portland-roseland-theater
"Friday, December 1, 2023","Sacramento, CA",Ace of Spades,https://www.ticketmaster.com/event/1C005EC67C23174F
"Saturday, December 2, 2023","Los Angeles, CA",The Novo,https://www.axs.com/events/489534/lil-darkie-tickets
"Tuesday, December 5, 2023","Phoenix, AZ",Marquee,https://www.seetickets.us/event/Lil-Darkie/554455
"Wednesday, December 6, 2023","Albuquerque, NM",Revel,https://www.prekindle.com/promo/id/532452769765218608
"Friday, December 8, 2023","San Antonio, TX",Aztec Theatre,https://www.ticketmaster.com/event/3A005EC7DED96AAF
"Saturday, December 9, 2023","Houston, TX",White Oak Music Hall,https://www.ticketmaster.com/event/3A005EC5949C1E5A
"Tuesday, December 12, 2023","New Orleans, LA",House of Blues,https://www.ticketmaster.com/event/1B005EC409935FC6
"Friday, December 15, 2023","Orlando, FL",The Beacham,https://tkx.live/events/lil-darkie-collapse-of-society/
"Saturday, December 16, 2023","Fort Lauderdale, FL",Revolution,https://www.ticketmaster.com/event/0D005EC6DD8ED578